091215_0M,091215_0i,091215_120M,091215_120i,091215_15M,091215_15i,091215_1M,091215_1i,091215_240M,091215_240i,091215_3M,091215_3i,091215_45M,091215_45i,091215_5M,091215_5i
6427.2251,6503.0806,4410.6088,5886.886,5229.4164,6686.2615,5159.094999999999,6107.0171,4069.2861000000003,6363.7922,8815.387200000001,3450.4677,7892.4490000000005,6325.6412,6754.890999999999,6133.963199999999
50200.0463,55669.018000000004,23238.4107,882.5622,57182.0449,40536.02359999999,50456.4062,52683.6339,17905.3489,151.3454,36353.4306,31244.6904,37903.727,28621.837499999998,56053.8179,49597.041600000004
60413.108,61772.929099999994,39794.72060000001,61454.92749999999,118278.0759,78406.63669999999,111530.1235,89868.642,37950.3693,63103.4208,226178.8429,155617.5364,115493.63059999999,96339.28749999999,136185.55049999998,108654.87819999999
147071.57830000002,137086.9547,133915.72110000002,114524.0698,118865.45649999999,85681.61459999997,123769.03920000001,92986.44669999999,120481.029,108716.92350000002,98701.22279999999,94935.5889,121786.17109999999,118977.04920000001,115915.4091,106487.5591
278280.34959999996,756832.2,522698.06250000006,1384758.9626,299766.55679999996,583504.4469999999,258639.49,706346.4268,383561.3469,1422142.3681,272454.05980000005,860283.2226999999,320039.05,1104323.3738,279852.6351,849609.7971
3097693.84,1337160.537,3663781.829,1388442.064,2842405.061,1127803.4876,2716094.98,1168802.1319,2755649.5594,1228924.3952999997,2525946.851,1299562.6918000001,2914452.684500001,1315983.7835000001,2987856.0479999995,1300318.672
757870.9573,434127.341,546509.9673,281282.5024,717580.4476000002,429225.7527,723195.823,385354.637,397928.31789999997,262570.2539,715480.3863000001,467671.592,816143.5347,436849.91140000004,737574.9576,426261.72380000004
568429.6410000001,830741.4127999999,540666.6905,668786.5799999998,512308.67030000006,583250.6755000001,508033.7921,705608.2753999999,411104.54660000006,605535.4005,547136.7825999999,707051.211,517631.89790000004,772204.0379000001,512879.74299999996,763814.9336
768162.04,675163.7187999999,452719.20100000006,547430.5360000001,722640.8986,425006.0134,544475.8833,499329.66010000004,441230.62690000003,486541.514,921419.892,931479.419,1249083.2906000002,1319943.5727,635730.889,470411.5512
79503.79569999999,178136.24349999998,78707.17,143465.5686,75241.41849999999,115116.17290000002,60785.291,148599.595,56878.7768,118082.4791,93932.3102,245406.9002,123061.07760000002,347191.16490000003,69979.1493,148771.93089999998
592111.3696000001,331517.70850000007,571655.3755,321361.16709999996,552360.2119,312094.3965,642947.6793,344981.3208,546136.403,290451.1925,552399.3652999998,333412.0041,547178.187,263850.6566,649199.1216,365884.97190000006
74863.7756,90094.758,41207.09569999999,72988.2971,92891.8701,75648.3189,76310.46340000001,89817.00200000001,46961.867,59807.311499999996,222166.1753,125564.9763,98241.36859999999,122492.35609999999,91753.164,92278.58929999999
14499.360099999998,39746.943699999996,15471.741399999999,35573.5117,17190.2725,31962.8171,15202.805900000001,46801.1326,12782.1492,31413.128200000003,51515.6346,71129.54819999999,22059.376500000002,57329.710600000006,19168.228199999998,45848.4737
157760.49000000002,63656.655,32090.3519,27838.9424,323052.1594,137103.5304,205977.06799999997,132595.90769999998,27786.7012,25638.160000000003,368039.22199999995,169715.97600000002,123415.237,75503.79370000001,333799.23,133549.1984
39840.875499999995,35060.99632,55848.140999999996,28330.25731,85254.15200000002,47179.38435,40880.779299999995,47764.299399999996,52213.981700000004,28834.671799999996,31640.478199999998,58029.44935000001,46821.5847,46969.7147,63427.185000000005,66171.3642
17329.3583,116835.873,9186.966300000002,60953.1173,5120.6751,41091.8216,8544.6554,62471.4984,5115.0679,52567.8291,14963.6887,60370.19930000001,13177.087200000002,103129.60330000002,6061.0786,55419.9216
57492.201799999995,53302.875,63282.9623,46069.2799,64671.229999999996,40469.181619999996,42806.89577,43181.0415,55570.63250000001,47125.70479999999,43634.0225,42792.4022,61112.5116,53531.7332,59062.3959,44201.7077
4057837.6303,3035426.3969,3923835.7821000004,3272561.8239,3802219.1819,2601874.935,4186683.1040000003,3053771.4402000005,3917972.3008000003,3032356.6066,3719302.9894,2999980.9908000003,3687112.514,2616059.179,4184530.2876999998,3004888.0225
1735055.2963999999,1442278.329,1610141.9638,1303381.2663,1619446.2774999999,1256569.522,1647299.0509000001,1418238.422,1410708.0005,1266597.6431,1679479.461,1358820.4589999998,1531616.153,1249506.4304000002,1665192.2208,1378949.883
63600.4153,41227.595,68879.7735,48081.322400000005,52717.76759999999,35234.661,52741.4015,34446.0218,64597.450000000004,49624.1084,49599.432700000005,37469.4296,60203.638699999996,36198.519100000005,57119.8487,40457.9053
148353.1539,214621.9204,228827.3501,305435.52900000004,214443.2273,278820.58700000006,163334.78710000002,231857.26507,222828.38930000004,325211.1020000001,188858.56629999998,284633.4572,211026.05530000004,270497.5075,202779.7777,295346.62460000004
9392.1239,11682.1874,11051.80845,8322.87959,11620.56088,11156.608400000001,8626.8173,10377.87962,7316.5668000000005,10748.5075,12606.7412,20385.683299999997,20775.7224,17615.6064,10088.5717,14587.4398
7744.9,13253.179499999998,2524.12964,3454.64316,7356.8949999999995,19243.9097,6508.0167,10582.98041,3471.1632,5030.2614,7821.253,15738.965,3685.3044,7705.420499999999,8141.378000000001,16962.153140000002
4587479.747900001,3717679.4708000002,5244672.2103,4013354.7449,5167276.543600001,3593966.0881,5093840.7248,3868530.8614,5158934.586500001,3702747.0307999994,4837021.7899,3857666.127,5123991.6016,3505196.0116,5503286.151,4093287.9082
1388439.434,1737896.9649999999,1436755.8589,1614086.18,1532656.364,1713330.6101000002,1309590.5823999997,1472352.832,1184160.1229999997,1573651.2699999998,1386256.285,1632668.8930000002,1479585.44,1912062.656,1527594.19,1727458.2980000002
10658.563,135844.394,50077.368800000004,120811.475,8174.985610000001,90373.27229,8079.3982000000005,122611.34908,30733.4843,136987.751,7445.478999999999,161083.96843,10703.329099999999,127996.49339999999,10763.8253,142508.94386
243156.2238,632718.7438999999,562530.5642,884809.94,231067.85499999998,526689.9603999999,218362.6949,525433.2217999999,461141.6268,784243.34,245090.3975,653630.2967,284944.449,809614.627,235667.48220000003,574304.3341
30181.4484,169356.2904,24935.0922,144255.8758,24417.237,115958.0257,21503.9324,141065.956,26535.4001,134993.081,21896.1872,145987.182,23864.0101,163980.82490000004,23806.6138,144835.8901
4103.2276,11253.5815,2968.94673,12697.268499999998,2956.24456,6216.32925,2497.42683,8067.0664,3916.1172999999994,14762.234,1997.2111,4194.71347,3132.09642,8703.836000000001,2910.34775,5161.009300000001
132912.7371,107480.556,129009.03930000002,97272.033,131780.4323,96479.455,130356.20999999999,113736.8731,112181.4903,97156.422,135249.99169999998,103530.95929999999,120151.9022,102812.75499999999,128249.152,105461.909
21402.7041,38419.161,34992.602380000004,59162.05781,8582.277660000002,11830.2104,7576.834419999999,7658.18717,38386.347330000004,67401.83636999999,7573.282649999999,10006.4644,12067.1222,21476.234800000002,7586.935199999999,9843.4956
37738.258,109321.6704,86081.68669999999,150792.63100000002,32679.188000000002,89467.64760000001,30090.878,86507.917,72025.292,133798.17599999998,36471.6426,116246.1997,41912.1683,141523.67690000002,34791.549999999996,101294.12689999999
965806.9258000001,1187221.1076,950822.9069999999,1029273.42,1042833.5081000001,1140698.2932999998,888321.6070000001,984691.9445000001,774420.0975000001,1020867.68,933555.1817,1096712.6825,985404.7180000001,1250072.0790000001,1005584.5549999999,1159836.6849
107587.444,110730.8422,213071.4372,216228.432,72131.74560000001,60610.43060000001,64124.3212,37985.5306,245541.5449,277663.057,53882.362,27045.362,102078.9589,97424.4327,69114.5189,44502.5559
